image_name,blur_score,brightness,contrast,width,height,resolution,grade
img_1218.jpg,262.92,132.58,70.09,800,600,480000,C
img_1219.jpg,1387.08,137.72,63.52,800,1066,852800,A
img_122.jpg,1115.06,117.34,40.63,800,600,480000,B
img_1220.jpg,577.17,114.63,67.18,800,600,480000,B
img_1221.jpg,636.56,136.69,46.07,800,1066,852800,B
img_1222.jpg,34.37,141.66,40.73,800,600,480000,D
img_1223.jpg,1030.16,119.55,65.04,800,600,480000,A
img_1224.jpg,234.39,143.27,31.36,800,1066,852800,C
img_1225.jpg,203.87,113.11,56.86,800,600,480000,C
img_1226.jpg,187.75,144.02,40.85,800,600,480000,D
img_1227.jpg,3222.39,121.92,53.77,800,600,480000,A
img_1228.jpg,3541.97,88.46,41.83,800,600,480000,B
img_1229.jpg,21542.16,120.77,54.8,800,600,480000,A
img_123.jpg,1365.19,144.85,40.45,800,600,480000,B
img_1230.jpg,1428.5,112.47,57.35,800,600,480000,A
img_1231.jpg,3280.91,114.28,53.98,800,1066,852800,A
img_1232.jpg,4100.04,104.0,59.46,800,600,480000,A
img_1233.jpg,80.36,117.93,44.95,800,600,480000,D
img_1234.jpg,487.87,98.88,46.7,800,600,480000,C
img_1235.jpg,755.33,133.87,58.36,800,600,480000,B
img_1236.jpg,63.3,95.36,29.01,800,600,480000,D
img_1237.jpg,1418.53,106.38,41.87,800,600,480000,B
img_1238.jpg,4061.48,109.12,61.67,800,600,480000,A
img_1239.jpg,747.86,138.34,53.3,800,1066,852800,B
img_124.jpg,141.39,76.25,41.14,800,599,479200,D
img_1240.jpg,56.8,128.62,46.88,800,1066,852800,D
img_1241.jpg,204.63,133.98,39.39,800,600,480000,C
img_1242.jpg,822.36,104.7,59.23,800,600,480000,B
img_1243.jpg,887.96,116.09,79.26,800,600,480000,B
img_1244.jpg,4480.39,114.69,53.94,800,600,480000,A
img_1245.jpg,301.66,140.75,51.87,800,600,480000,C
img_1246.jpg,83.95,153.29,31.8,800,599,479200,D
img_1247.jpg,10441.16,111.52,63.52,800,599,479200,A
img_1248.jpg,33.2,110.24,67.97,800,600,480000,D
img_1249.jpg,379.17,96.5,55.65,800,600,480000,C
img_125.jpg,645.76,132.1,67.26,800,600,480000,B
img_1250.jpg,4189.56,99.89,46.99,800,600,480000,B
img_1251.jpg,937.88,122.76,71.95,800,600,480000,B
img_1252.jpg,664.67,107.59,39.44,800,600,480000,C
img_1253.jpg,3664.13,109.7,64.08,800,600,480000,A
img_1254.jpg,2208.26,118.5,47.12,800,600,480000,B
img_1255.jpg,601.24,90.75,51.52,800,600,480000,B
img_1256.jpg,555.61,96.52,61.7,800,600,480000,B
img_1257.jpg,1526.24,129.67,57.13,800,600,480000,A
img_1258.jpg,596.8,80.1,46.11,800,600,480000,B
img_1259.jpg,1493.95,110.39,63.52,800,600,480000,A
img_126.jpg,438.07,102.43,48.9,800,600,480000,C
img_1260.jpg,1123.92,165.67,62.61,800,599,479200,A
img_1261.jpg,537.43,86.17,62.69,800,600,480000,B
img_1262.jpg,2171.54,107.47,60.41,800,1066,852800,A
img_1263.jpg,90.78,113.55,60.5,800,600,480000,D
img_1264.jpg,173.97,73.53,47.37,800,600,480000,D
img_1265.jpg,613.44,89.45,61.32,800,600,480000,B
img_1266.jpg,778.63,89.94,61.4,800,600,480000,B
